Serial No.,Question,Answer,Difficulty
104,ডাচ ডিজিজ' (Dutch Disease) নামক অর্থনৈতিক ঘটনাটি ব্যাখ্যা করুন।,"যখন কোনো একটি প্রাকৃতিক সম্পদের (যেমন- তেল বা গ্যাস) আবিষ্কার ও রপ্তানির ফলে দেশের মুদ্রার মান বেড়ে যায় এবং এর ফলে অন্যান্য রপ্তানি খাত (যেমন- শিল্প ও কৃষি) ক্ষতিগ্রস্ত হয় ও প্রতিযোগিতার সক্ষমতা হারায়, তখন সেই অবস্থাকে 'ডাচ ডিজিজ' বলে।",Hard
105,সলো প্রবৃদ্ধি মডেল (Solow Growth Model) অনুযায়ী দীর্ঘমেয়াদী অর্থনৈতিক প্রবৃদ্ধির মূল চালিকাশক্তি কী?,"সলো মডেল অনুযায়ী, দীর্ঘমেয়াদে মাথাপিছু আয় বৃদ্ধির মূল চালিকাশক্তি হলো প্রযুক্তিগত উন্নয়ন (technological progress)। শুধুমাত্র মূলধন ও শ্রম বৃদ্ধি দীর্ঘমেয়াদী টেকসই প্রবৃদ্ধি নিশ্চিত করতে পারে না।",Hard
106,টাইম ইনকনসিসটেন্সি (Time Inconsistency) সমস্যা মুদ্রানীতিতে কেন গুরুত্বপূর্ণ?,"এই সমস্যাটি ঘটে যখন একজন নীতিনির্ধারক ভবিষ্যতের জন্য একটি সর্বোত্তম নীতি ঘোষণা করেন, কিন্তু সময় অতিবাহিত হলে সেই নীতি অনুসরণ না করে ভিন্ন নীতি গ্রহণ করার প্রণোদনা পান। এটি কেন্দ্রীয় ব্যাংকের বিশ্বাসযোগ্যতা নষ্ট করতে পারে।",Hard
107,মরেল হ্যাজার্ড (Moral Hazard) এবং অ্যাডভার্স সিলেকশন (Adverse Selection) এর মধ্যে উদাহরণসহ পার্থক্য করুন।,অ্যাডভার্স সিলেকশন ঘটে চুক্তির আগে (যেমন: অসুস্থ ব্যক্তিরা বেশি স্বাস্থ্যবীমা কেনে)। মরেল হ্যাজার্ড ঘটে চুক্তির পরে (যেমন: বীমা করার পর একজন ব্যক্তি ঝুঁকিপূর্ণ আচরণ করে)।,Hard
108,দক্ষ বাজার অনুকল্প (Efficient Market Hypothesis - EMH) অনুযায়ী শেয়ারের দাম কীভাবে নির্ধারিত হয়?,"এই অনুকল্প অনুযায়ী, শেয়ার বাজারে প্রাপ্ত সকল তথ্য তাৎক্ষণিকভাবে শেয়ারের দামে প্রতিফলিত হয়। তাই, কোনো বিনিয়োগকারী ধারাবাহিকভাবে বাজারকে পরাজিত করে অতিরিক্ত মুনাফা অর্জন করতে পারে না।",Hard
109,রিয়েল বিজনেস সাইকেল (Real Business Cycle) তত্ত্ব বাণিজ্য চক্রকে কীভাবে ব্যাখ্যা করে?,"এই তত্ত্ব অনুযায়ী, বাণিজ্য চক্র বা অর্থনৈতিক ওঠানামা কোনো আর্থিক বা মুদ্রাগত কারণে ঘটে না, বরং উৎপাদনশীলতায় প্রযুক্তিগত আঘাত বা 'রিয়েল শক' (real shocks) এর কারণে ঘটে।",Hard
110,ল্যাফার কার্ভ (Laffer Curve) কর হার এবং সরকারি রাজস্বের মধ্যে কী ধরনের সম্পর্ক দেখায়?,"ল্যাফার কার্ভ দেখায় যে, কর হার শূন্য থেকে বাড়তে থাকলে সরকারি রাজস্ব একটি নির্দিষ্ট বিন্দু পর্যন্ত বাড়ে এবং তারপর কর হার আরও বাড়ালে মানুষের কাজ ও বিনিয়োগের প্রণোদনা কমে যাওয়ায় মোট রাজস্ব কমতে শুরু করে।",Hard
111,ডেডওয়েট লস (Deadweight Loss) কী এবং এটি কখন সৃষ্টি হয়?,"সরকার যখন কর আরোপ করে বা একচেটিয়া কারবারি যখন দাম নির্ধারণ করে, তখন বাজারের স্বাভাবিক কার্যক্রম ব্যাহত হয় এবং এর ফলে সমাজের মোট উদ্বৃত্ত (consumer surplus + producer surplus) যতটুকু কমে যায়, তাকে ডেডওয়েট লস বলে।",Hard
112,অ্যারোর অসম্ভবতা উপপাদ্য (Arrow's Impossibility Theorem) সামাজিক পছন্দ সম্পর্কে কী বলে?,"এই উপপাদ্যটি বলে যে, নির্দিষ্ট কিছু ন্যায্যতার মানদণ্ড (যেমন: সর্বজনীনতা, অ-একনায়কত্ব) মেনে ব্যক্তিগত পছন্দগুলোকে একত্রিত করে একটি সামঞ্জস্যপূর্ণ ও যৌক্তিক সামাজিক পছন্দ বা র‍্যাংকিং তৈরি করা অসম্ভব।",Hard
113,বাংলাদেশের প্রেক্ষাপটে মধ্যম আয়ের ফাঁদ (Middle-Income Trap) বলতে কী বোঝায় এবং এর থেকে উত্তরণের উপায় কী?,"মধ্যম আয়ের ফাঁদ হলো এমন একটি পরিস্থিতি যেখানে একটি দেশ নিম্ন আয়ের স্তর থেকে মধ্যম আয়ের স্তরে পৌঁছানোর পর উচ্চ আয়ের দেশে পরিণত হতে ব্যর্থ হয়। উৎপাদনশীলতা বৃদ্ধি, উদ্ভাবন, এবং কাঠামোগত সংস্কারের মাধ্যমে এ থেকে উত্তরণ সম্ভব।",Hard
114,বাংলাদেশের জন্য দ্বৈত অর্থনীতি (Dual Economy) মডেলটি কতটা প্রাসঙ্গিক?,"এই মডেলটি প্রাসঙ্গিক কারণ বাংলাদেশে এখনো একটি আধুনিক, শিল্পভিত্তিক শহুরে খাত এবং একটি ঐতিহ্যবাহী, স্বল্প উৎপাদনশীল গ্রামীণ কৃষি খাত পাশাপাশি বিদ্যমান। গ্রাম থেকে শহরে শ্রমের স্থানান্তর এখনো ঘটছে।",Hard
115,টেলর নীতি (Taylor Rule) কেন্দ্রীয় ব্যাংককে সুদের হার নির্ধারণে কীভাবে সাহায্য করে?,টেলর নীতি হলো একটি ফর্মুলা যা কেন্দ্রীয় ব্যাংককে মুদ্রাস্ফীতির হার এবং অর্থনৈতিক প্রবৃদ্ধির হারের উপর ভিত্তি করে একটি কাম্য নীতি-নির্ধারণী সুদের হার (policy interest rate) খুঁজে বের করতে সাহায্য করে।,Hard
116,ঋণের অ-কার্যকরীকরণ (Debt Deflation) তত্ত্বটি কে প্রদান করেন এবং এর মূল বক্তব্য কী?,"আর্ভিং ফিশার এই তত্ত্বটি প্রদান করেন। এর মূল বক্তব্য হলো, একটি বড় অর্থনৈতিক মন্দার সময় পণ্যের দাম কমে যাওয়ায় ঋণের প্রকৃত বোঝা বেড়ে যায়, যা মানুষকে ব্যয় কমাতে বাধ্য করে এবং এটি অর্থনৈতিক সংকটকে আরও ঘনীভূত করে।",Hard
117,ক্রাউডিং আউট এফেক্ট (Crowding Out Effect) বলতে কী বোঝায়?,"সরকার যখন ঘাটতি বাজেট অর্থায়নের জন্য বাজার থেকে প্রচুর পরিমাণে ঋণ নেয়, তখন সুদের হার বেড়ে যায় এবং এর ফলে বেসরকারি বিনিয়োগ কমে যায়। এই ঘটনাকে ক্রাউডিং আউট এফেক্ট বলে।",Hard
118,লরেন্‌জ বক্ররেখা (Lorenz Curve) এবং গিনি সহগের মধ্যে সম্পর্ক কী?,লরেন্‌জ বক্ররেখা একটি দেশের আয় বন্টনের অসমতাকে চিত্রের মাধ্যমে প্রকাশ করে। এই বক্ররেখা এবং পূর্ণ সমতা রেখার মধ্যবর্তী এলাকার ক্ষেত্রফলকে গিনি সহগ দ্বারা পরিমাপ করা হয়।,Hard
119,প্রিন্সিপাল-এজেন্ট সমস্যা (Principal-Agent Problem) কর্পোরেট গভর্ন্যান্সে কেন একটি উদ্বেগের বিষয়?,"এই সমস্যাটি দেখা দেয় যখন কোম্পানির মালিক (প্রিন্সিপাল) এবং ব্যবস্থাপক (এজেন্ট) এর স্বার্থ ভিন্ন হয়। ব্যবস্থাপকরা কোম্পানির স্বার্থের পরিবর্তে নিজেদের স্বার্থে কাজ করতে পারে, যা কর্পোরেট গভর্ন্যান্সের জন্য একটি চ্যালেঞ্জ।",Hard
120,রিকার্ডিয়ান ইকুইভ্যালেন্স (Ricardian Equivalence) উপপাদ্যটি কী বলে?,"এই উপপাদ্য অনুযায়ী, সরকার কর কমিয়ে ঋণ গ্রহণের মাধ্যমে ব্যয় নির্বাহ করলে যুক্তিবাদী করদাতারা ভবিষ্যতের কর বৃদ্ধির প্রত্যাশায় তাদের সঞ্চয় বাড়িয়ে দেয়। ফলে, সরকারি ব্যয়ের পদ্ধতির পরিবর্তন মোট চাহিদার উপর কোনো প্রভাব ফেলে না।",Hard
121,সার্চ থিওরি (Search Theory) বেকারত্বকে কীভাবে ব্যাখ্যা করে?,"এই তত্ত্ব অনুযায়ী, বেকারত্ব একটি স্বাভাবিক প্রক্রিয়া যেখানে শ্রমিকরা তাদের দক্ষতার সাথে মানানসই এবং সর্বোচ্চ মজুরি প্রদানকারী চাকরি খুঁজে বের করার জন্য সময় নেয়। এটি মূলত ফ্রিকশনাল বেকারত্বকে ব্যাখ্যা করে।",Hard
122,নন-অ্যাকসেলারেটিং ইনফ্লেশন রেট অফ আনেমপ্লয়মেন্ট (NAIRU) কী?,"NAIRU হলো বেকারত্বের সেই হার যেখানে মুদ্রাস্ফীতির হার স্থিতিশীল থাকে (বাড়েও না, কমেও না)। যদি বেকারত্বের হার NAIRU-এর নিচে নেমে যায়, তবে মুদ্রাস্ফীতি বাড়তে শুরু করবে বলে মনে করা হয়।",Hard
123,ফরোয়ার্ড এবং ফিউচার্স কন্ট্রাক্টের মধ্যে মূল পার্থক্য কী?,"উভয়ই ভবিষ্যতে একটি নির্দিষ্ট দামে সম্পদ কেনাবেচার চুক্তি। কিন্তু ফিউচার্স কন্ট্রাক্টগুলো একটি সংগঠিত এক্সচেঞ্জে কেনাবেচা হয় এবং এর শর্তাবলী প্রমিত (standardized) থাকে, যেখানে ফরোয়ার্ড কন্ট্রাক্টগুলো ব্যক্তিগতভাবে নির্ধারিত (customized) হয়।",Hard
124,ক্যাপিটাল অ্যাসেট প্রাইসিং মডেল (CAPM) কীভাবে একটি সম্পদের প্রত্যাশিত আয় নির্ধারণ করে?,"CAPM অনুযায়ী, একটি সম্পদের প্রত্যাশিত আয় নির্ভর করে ঝুঁকিবিহীন সুদের হার, বাজারের সামগ্রিক প্রত্যাশিত আয় এবং ওই সম্পদের পদ্ধতিগত ঝুঁকির (systematic risk) পরিমাপক বিটা (Beta) এর উপর।",Hard
125,ইনোভেটিভ ফাইন্যান্সিং ফর ডেভেলপমেন্ট (Innovative Financing for Development) বলতে কী বোঝায়?,"উন্নয়নমূলক প্রকল্পগুলোর জন্য প্রচলিত বৈদেশিক সাহায্য বা ঋণের বাইরে নতুন ও উদ্ভাবনী উৎস থেকে অর্থ সংগ্রহের প্রক্রিয়াকে ইনোভেটিভ ফাইন্যান্সিং বলে। যেমন - সবুজ বন্ড, সোশ্যাল ইমপ্যাক্ট বন্ড।",Hard
126,বাংলাদেশের মতো উন্নয়নশীল দেশের জন্য পুঁজি নিয়ন্ত্রণ (Capital Control) কি প্রয়োজনীয়?,তীব্র অর্থনৈতিক সংকটের সময় হঠাৎ করে দেশ থেকে পুঁজি পাচার (capital flight) রোধ করতে এবং বিনিময় হারের স্থিতিশীলতা বজায় রাখতে স্বল্পমেয়াদী পুঁজি নিয়ন্ত্রণ একটি কার্যকর হাতিয়ার হতে পারে।,Hard
127,বিশ্ব বাণিজ্য সংস্থা (WTO) এর সবচেয়ে সুবিধাপ্রাপ্ত জাতি (Most Favored Nation - MFN) নীতির মূল কথা কী?,"এই নীতি অনুযায়ী, যদি একটি দেশ তার কোনো বাণিজ্যিক অংশীদারকে একটি বিশেষ সুবিধা (যেমন: কম শুল্ক) প্রদান করে, তবে তাকে অবশ্যই WTO-এর অন্য সকল সদস্য দেশকে একই সুবিধা প্রদান করতে হবে।",Hard
128,অপ্রতিসম তথ্য (Asymmetric Information) বাজারের ব্যর্থতার কারণ হতে পারে কেন?,"যখন লেনদেনের এক পক্ষের কাছে অন্য পক্ষের চেয়ে বেশি বা উন্নত তথ্য থাকে, তখন তা অ্যাডভার্স সিলেকশন ও মরেল হ্যাজার্ডের মতো সমস্যার সৃষ্টি করে, যা বাজারের দক্ষ কার্যক্রমকে ব্যাহত করে এবং বাজারের ব্যর্থতার কারণ হয়।",Hard
129,আমর্ত্য সেনের সক্ষমতা দৃষ্টিভঙ্গি (Capability Approach) উন্নয়নের প্রচলিত ধারণা থেকে কীভাবে আলাদা?,"উন্নয়নের প্রচলিত ধারণা যেখানে শুধু আয় বা উপযোগের উপর গুরুত্ব দেয়, সেখানে সেনের দৃষ্টিভঙ্গি মানুষের প্রকৃত স্বাধীনতা বা সক্ষমতার (যেমন: সুস্থ থাকা, শিক্ষিত হওয়া) উপর গুরুত্বারোপ করে, যা মানুষকে তার কাঙ্ক্ষিত জীবন বেছে নিতে সাহায্য করে।",Hard
130,বাংলাদেশের বিদ্যুৎ খাতে ভর্তুকির দীর্ঘমেয়াদী অর্থনৈতিক প্রভাব কী?,"ভর্তুকি স্বল্পমেয়াদে ভোক্তাদের জন্য বিদ্যুতের দাম কম রাখলেও, দীর্ঘমেয়াদে এটি সরকারের উপর রাজস্ব চাপ সৃষ্টি করে, অদক্ষ ব্যবহারকে উৎসাহিত করে এবং নবায়নযোগ্য জ্বালানিতে বিনিয়োগকে নিরুৎসাহিত করতে পারে।",Hard
131,শ্যাম্পিটারের (Schumpeter) সৃজনশীল ধ্বংস (Creative Destruction) তত্ত্বটি কী?,"এই তত্ত্ব অনুযায়ী, পুঁজিবাদী অর্থনীতিতে উদ্ভাবনের মাধ্যমে নতুন প্রযুক্তি বা পণ্য পুরনো প্রযুক্তি বা শিল্পকে ধ্বংস করে দেয়, যা অর্থনৈতিক প্রবৃদ্ধির একটি অপরিহার্য প্রক্রিয়া।",Hard
132,বাংলাদেশের ব্যাংকিং খাতে খেলাপি ঋণের (Non-Performing Loan - NPL) মূল কারণগুলো কী কী?,"রাজনৈতিক প্রভাব, দুর্বল কর্পোরেট গভর্ন্যান্স, ঋণ অনুমোদনে অনিয়ম, এবং ব্যবসায়িক মন্দা বাংলাদেশের ব্যাংকিং খাতে খেলাপি ঋণের অন্যতম প্রধান কারণ।",Hard
133,প্রাক্সিমা প্রিন্সিপাল (Proxima Principle) অনুযায়ী অবকাঠামো প্রকল্পে বিনিয়োগের অগ্রাধিকার কীভাবে নির্ধারিত হওয়া উচিত?,"এই নীতি অনুযায়ী, সেইসব অবকাঠামো প্রকল্পে অগ্রাধিকার দেওয়া উচিত যা সরাসরি উৎপাদনশীল খাতের (যেমন: শিল্প, কৃষি) সাথে যুক্ত এবং অর্থনৈতিক প্রবৃদ্ধিতে দ্রুত অবদান রাখতে পারে।",Hard
134,এজেন্ট-ভিত্তিক কম্পিউটেশনাল ইকোনমিক্স (Agent-based Computational Economics - ACE) কী?,"এটি অর্থনীতির একটি শাখা যেখানে কম্পিউটার সিমুলেশনের মাধ্যমে স্বতন্ত্র এজেন্টদের (যেমন: ব্যক্তি, ফার্ম) মিথস্ক্রিয়া থেকে কীভাবে সামষ্টিক অর্থনৈতিক প্যাটার্ন উদ্ভূত হয়, তা বিশ্লেষণ করা হয়।",Hard
135,বাংলাদেশ ডেল্টা প্ল্যান ২১০০ (BDP 2100) এর মূল লক্ষ্য কী?,এটি একটি দীর্ঘমেয়াদী সমন্বিত পরিকল্পনা যার মূল লক্ষ্য হলো জলবায়ু পরিবর্তন এবং প্রাকৃতিক দুর্যোগের ঝুঁকি মোকাবেলা করে বাংলাদেশের পানি সম্পদের সুষ্ঠু ব্যবস্থাপনা এবং খাদ্য নিরাপত্তা নিশ্চিত করা।,Hard
136,বাংলাদেশের রপ্তানি বহুমুখীকরণে (Export Diversification) প্রধান চ্যালেঞ্জগুলো কী?,"প্রধান চ্যালেঞ্জগুলো হলো তৈরি পোশাক খাতের উপর অতি নির্ভরশীলতা, নতুন পণ্যের জন্য প্রযুক্তি ও দক্ষতার অভাব, এবং আন্তর্জাতিক বাজারে নতুন পণ্যের প্রবেশাধিকার লাভে অসুবিধা।",Hard
137,বৈদেশিক মুদ্রার রিজার্ভ ব্যবস্থাপনায় সার্বভৌম সম্পদ তহবিল (Sovereign Wealth Fund - SWF) এর ভূমিকা কী?,"একটি দেশ তার অতিরিক্ত বৈদেশিক মুদ্রার রিজার্ভ থেকে সার্বভৌম সম্পদ তহবিল গঠন করতে পারে, যা দীর্ঘমেয়াদী ও উচ্চ লাভজনক খাতে বিনিয়োগ করে দেশের জন্য অতিরিক্ত আয় সৃষ্টি করতে পারে।",Hard
138,শেয়ার বাইব্যাক (Share Buyback) কোম্পানির আর্থিক স্বাস্থ্যের বিষয়ে কী ইঙ্গিত দেয়?,এটি ইঙ্গিত দিতে পারে যে কোম্পানির ব্যবস্থাপনা মনে করছে তাদের শেয়ারের দাম অবমূল্যায়িত (undervalued) এবং কোম্পানির হাতে উদ্বৃত্ত নগদ অর্থ রয়েছে। এটি শেয়ার প্রতি আয় (EPS) বৃদ্ধি করে।,Hard
139,র‍্যান্ডমাইজড কন্ট্রোল ট্রায়াল (Randomized Control Trial - RCT) উন্নয়ন অর্থনীতিতে কেন জনপ্রিয় হয়ে উঠেছে?,"RCT উন্নয়নমূলক নীতির কার্যকারিতা মূল্যায়নের জন্য একটি নির্ভরযোগ্য পদ্ধতি প্রদান করে। এর মাধ্যমে কোন হস্তক্ষেপটি (intervention) আসলেই কাজ করছে এবং কোনটি করছে না, তা বৈজ্ঞানিকভাবে পরিমাপ করা যায়।",Hard
140,বিগ ম্যাক ইনডেক্স (Big Mac Index) কীসের একটি অনানুষ্ঠানিক পরিমাপক?,দ্য ইকোনমিস্ট দ্বারা প্রকাশিত এই সূচকটি বিভিন্ন দেশে ম্যাকডোনাল্ডসের বিগ ম্যাক বার্গারের দাম তুলনা করে ক্রয়ক্ষমতার সমতা (Purchasing Power Parity - PPP) তত্ত্ব অনুযায়ী মুদ্রার অবমূল্যায়ন বা অতিমূল্যায়ন পরিমাপ করে।,Hard
141,জিরো-লোয়ার বাউন্ড (Zero-Lower Bound) সমস্যাটি মুদ্রানীতির কার্যকারিতাকে কীভাবে সীমাবদ্ধ করে?,"যখন নামিক সুদের হার শূন্যের কাছাকাছি বা শূন্য হয়ে যায়, তখন কেন্দ্রীয় ব্যাংক সুদের হার কমিয়ে অর্থনীতিকে আর উদ্দীপ্ত করতে পারে না। এটি মুদ্রানীতির কার্যকারিতাকে সীমাবদ্ধ করে ফেলে।",Hard
142,কোয়য়ান্টিটেটিভ ইজিং (Quantitative Easing - QE) কী এবং এটি কখন ব্যবহৃত হয়?,"যখন প্রচলিত মুদ্রানীতি (সুদের হার কমানো) অকার্যকর হয়ে পড়ে, তখন কেন্দ্রীয় ব্যাংক বাজার থেকে সরকারি বন্ড এবং অন্যান্য আর্থিক সম্পদ কিনে অর্থনীতিতে সরাসরি অর্থের যোগান বাড়িয়ে দেয়। এই প্রক্রিয়াকে QE বলে।",Hard
143,বাংলাদেশের মতো শ্রম-নির্ভর অর্থনীতির জন্য অটোমেশন বা স্বয়ংক্রিয়তার হুমকি ও সম্ভাবনা কী?,"হুমকি হলো স্বল্প-দক্ষ শ্রমিকদের কর্মচ্যুতি। সম্ভাবনা হলো উৎপাদনশীলতা বৃদ্ধি এবং উচ্চ-মূল্যের পণ্য উৎপাদনে সক্ষমতা অর্জন, যদি শ্রমিকদের নতুন প্রযুক্তির জন্য প্রশিক্ষিত করা যায়।",Hard
144,লেমনস প্রবলেম (Lemons Problem) ব্যবহৃত গাড়ির বাজারে কীভাবে কাজ করে?,"বিক্রেতারা গাড়ির মান সম্পর্কে ক্রেতাদের চেয়ে বেশি জানে (অপ্রতিসম তথ্য)। ফলে, ক্রেতারা ভালো ও খারাপ গাড়ির গড় দাম দিতে চায়, যা ভালো গাড়ির বিক্রেতাদের বাজার থেকে সরিয়ে দেয় এবং বাজারে শুধু খারাপ গাড়ি ('লেমনস') অবশিষ্ট থাকে।",Hard
145,আঞ্চলিক বাণিজ্য চুক্তি (Regional Trade Agreement - RTA) যেমন সাপটা (SAFTA) বা বিমসটেক (BIMSTEC) বিশ্ব বাণিজ্য সংস্থার (WTO) নীতির সাথে সাংঘর্ষিক হতে পারে কি?,"হ্যাঁ, হতে পারে। কারণ RTA শুধুমাত্র সদস্য দেশগুলোর মধ্যে বাণিজ্য সুবিধা দেয়, যা WTO-এর MFN নীতির (সকল দেশকে সমান সুবিধা দেওয়া) পরিপন্থী হতে পারে। তবে WTO নির্দিষ্ট শর্তে RTA-কে অনুমোদন দেয়।",Hard
146,ইলিসিট ফাইন্যান্সিয়াল ফ্লো (Illicit Financial Flow) বা অবৈধ অর্থ পাচার বাংলাদেশের অর্থনীতিকে কীভাবে ক্ষতিগ্রস্ত করে?,"এটি দেশের কর রাজস্ব কমিয়ে দেয়, বৈদেশিক মুদ্রার রিজার্ভ হ্রাস করে, অসমতা বাড়ায় এবং শাসনব্যবস্থাকে দুর্বল করে দেয়, যা দেশের সামগ্রিক অর্থনৈতিক উন্নয়নে বাধা সৃষ্টি করে।",Hard
147,চতুর্থ শিল্প বিপ্লব (Fourth Industrial Revolution) বাংলাদেশের অর্থনীতির জন্য কী ধরনের কাঠামোগত পরিবর্তন প্রয়োজন?,"এর জন্য প্রয়োজন শিক্ষা ব্যবস্থার আধুনিকায়ন, ডিজিটাল অবকাঠামোতে ব্যাপক বিনিয়োগ, কৃত্রিম বুদ্ধিমত্তা ও ডেটা সায়েন্সের মতো প্রযুক্তিতে দক্ষতা বৃদ্ধি এবং শ্রম আইনকে যুগোপযোগী করা।",Hard
148,টবিন ট্যাক্স (Tobin Tax) কী এবং এর উদ্দেশ্য কী?,এটি স্বল্পমেয়াদী আন্তর্জাতিক মুদ্রা লেনদেনের উপর প্রস্তাবিত একটি কর। এর মূল উদ্দেশ্য হলো ফটকা বা спекулятивный লেনদেনকে নিরুৎসাহিত করে বৈদেশিক মুদ্রার বাজারের অস্থিরতা কমানো।,Hard
149,বাংলাদেশের জন্য ব্লু ইকোনমি (Blue Economy) বা সুনীল অর্থনীতির সম্ভাবনা কী?,"বাংলাদেশের বিশাল সমুদ্রসীমাকে কাজে লাগিয়ে মৎস্য আহরণ, সামুদ্রিক শৈবাল চাষ, পর্যটন, এবং সমুদ্রতলের খনিজ সম্পদ উত্তোলনের মাধ্যমে নতুন অর্থনৈতিক দিগন্ত উন্মোচন করার বিপুল সম্ভাবনা রয়েছে।",Hard
150,উন্নয়ন লক্ষ্যমাত্রা (SDG) অর্জনে বাংলাদেশের অর্থায়নের প্রধান চ্যালেঞ্জগুলো কী?,"প্রধান চ্যালেঞ্জগুলো হলো অপর্যাপ্ত অভ্যন্তরীণ সম্পদ (কর-জিডিপি অনুপাত কম), বৈদেশিক সাহায্যের উপর নির্ভরতা হ্রাস, বেসরকারি খাতের বিনিয়োগ বৃদ্ধিতে বাধা এবং জলবায়ু পরিবর্তন মোকাবেলায় প্রয়োজনীয় তহবিলের অভাব।",Hard
