Serial No.,Question,Answer,Difficulty
120,পারমাণবিক অপ্রসারণ চুক্তি' (NPT) কী এবং এর উদ্দেশ্য কী?,পারমাণবিক অপ্রসারণ চুক্তি' (NPT) হলো ১৯৬৮ সালে স্বাক্ষরিত একটি আন্তর্জাতিক চুক্তি যার উদ্দেশ্য হলো পারমাণবিক অস্ত্রের বিস্তার রোধ করা এবং পারমাণবিক শক্তির শান্তিপূর্ণ ব্যবহার নিশ্চিত করা।,Hard
121,আফ্রিকান সাভানা' অঞ্চলের বৈশিষ্ট্য কী?,"আফ্রিকান সাভানা' অঞ্চলের বৈশিষ্ট্য হলো - বিশাল তৃণভূমি, বিক্ষিপ্ত গাছপালা, এবং দুটি ঋতু (শুষ্ক ও বর্ষা)। এখানে বিভিন্ন ধরনের বন্যপ্রাণীর বসবাস রয়েছে।",Hard
122,ট্রান্স-প্যাসিফিক পার্টনারশিপ' (TPP) কী ছিল?,"ট্রান্স-প্যাসিফিক পার্টনারশিপ' (TPP) ছিল একটি প্রস্তাবিত বৃহৎ আঞ্চলিক বাণিজ্য চুক্তি যা এশিয়া-প্যাসিফিক অঞ্চলের ১২টি দেশকে সংযুক্ত করার লক্ষ্য নিয়েছিল, কিন্তু পরবর্তীতে যুক্তরাষ্ট্র এতে অংশগ্রহণ থেকে সরে আসে।",Hard
123,হিউম্যান জিনোম প্রজেক্ট' (Human Genome Project) কী ছিল এবং এর প্রধান অবদান কী?,হিউম্যান জিনোম প্রজেক্ট' ছিল একটি আন্তর্জাতিক বৈজ্ঞানিক গবেষণা প্রকল্প যার লক্ষ্য ছিল মানুষের সম্পূর্ণ জিনোমের ডিএনএ সিকোয়েন্স নির্ধারণ করা। এর প্রধান অবদান হলো মানুষের জেনেটিক রোগ বোঝা এবং চিকিৎসা পদ্ধতির উন্নতিতে সহায়তা করা।,Hard
124,নগরায়ন' (Urbanization) এর দুটি ইতিবাচক ও দুটি নেতিবাচক প্রভাব উল্লেখ করুন।,"ইতিবাচক প্রভাব: ১. কর্মসংস্থানের সুযোগ বৃদ্ধি, ২. উন্নত শিক্ষা ও স্বাস্থ্যসেবা। নেতিবাচক প্রভাব: ১. পরিবেশ দূষণ বৃদ্ধি, ২. বস্তি এলাকার বিস্তার ও যানজট।",Hard
125,আন্তর্জাতিক নবায়নযোগ্য শক্তি সংস্থা' (IRENA) এর উদ্দেশ্য কী?,আন্তর্জাতিক নবায়নযোগ্য শক্তি সংস্থা' (IRENA) এর উদ্দেশ্য হলো বিশ্বব্যাপী নবায়নযোগ্য শক্তির ব্যবহার ও প্রচলনকে উৎসাহিত করা এবং এর মাধ্যমে টেকসই উন্নয়ন ও জলবায়ু পরিবর্তন মোকাবেলা করা।,Hard
126,সুনামির' কারণ কী এবং এর দুটি প্রধান প্রভাব উল্লেখ করুন।,"সুনামির' প্রধান কারণ হলো সমুদ্রের নিচে শক্তিশালী ভূমিকম্প বা আগ্নেয়গিরির অগ্ন্যুৎপাত। এর দুটি প্রধান প্রভাব হলো - ১. ব্যাপক জীবনহানি ও অবকাঠামো ধ্বংস, ২. পরিবেশের মারাত্মক ক্ষতি।",Hard
127,ডেটা মাইনিং' (Data Mining) কী এবং এটি ব্যবসা ক্ষেত্রে কীভাবে ব্যবহৃত হয়?,"ডেটা মাইনিং' হলো বৃহৎ ডেটাসেট থেকে প্যাটার্ন, প্রবণতা এবং কার্যকর তথ্য বের করার প্রক্রিয়া। ব্যবসা ক্ষেত্রে এটি - ১. গ্রাহকদের আচরণ বিশ্লেষণ, ২. বাজারের পূর্বাভাস প্রদান, এবং ৩. বিক্রয় বৃদ্ধি কৌশল নির্ধারণে ব্যবহৃত হয়।",Hard
128,গ্লোবাল ওয়ার্মিং' (Global Warming) এবং 'জলবায়ু পরিবর্তন' এর মধ্যে পার্থক্য কী?,"গ্লোবাল ওয়ার্মিং' হলো পৃথিবীর গড় তাপমাত্রা বৃদ্ধি পাওয়াকে বোঝায়। 'জলবায়ু পরিবর্তন' হলো আরও ব্যাপক একটি ধারণা, যা তাপমাত্রা বৃদ্ধির পাশাপাশি বৃষ্টিপাত, বায়ুর গতি, সমুদ্রপৃষ্ঠের উচ্চতা ইত্যাদি সহ দীর্ঘমেয়াদী আবহাওয়ার ধরনে পরিবর্তনকে বোঝায়।",Hard
129,নন-প্রলিফারেশন ট্রিটি' (NPT) এর সমালোচনাগুলো কী কী?,"NPT এর সমালোচনাগুলোর মধ্যে অন্যতম হলো - ১. পারমাণবিক শক্তিধর দেশগুলোর নিরস্ত্রীকরণে ধীরগতি, ২. চুক্তিতে স্বাক্ষর না করা দেশগুলোর পারমাণবিক অস্ত্র অর্জন, এবং ৩. শান্তিপূর্ণ উদ্দেশ্যে ব্যবহৃত প্রযুক্তির সামরিক উদ্দেশ্যে ব্যবহারের ঝুঁকি।",Hard
130,গ্রীনহাউস প্রভাব' (Greenhouse Effect) কী এবং এর সাথে সম্পর্কিত প্রধান গ্যাসগুলো কী কী?,"গ্রীনহাউস প্রভাব' হলো পৃথিবীর বায়ুমণ্ডলে কিছু গ্যাসের (গ্রীনহাউস গ্যাস) কারণে সূর্য থেকে আসা তাপ আটকে গিয়ে পৃথিবীর উষ্ণতা বৃদ্ধি পাওয়ার প্রক্রিয়া। প্রধান গ্যাসগুলো হলো - কার্বন ডাই অক্সাইড, মিথেন, নাইট্রাস অক্সাইড, এবং জলীয় বাষ্প।",Hard
131,জনসংখ্যা পিরামিড' কী এবং এর থেকে কী ধরনের তথ্য পাওয়া যায়?,"জনসংখ্যা পিরামিড' হলো একটি দেশের জনসংখ্যাকে বয়স এবং লিঙ্গ অনুসারে বিন্যস্ত করে গ্রাফিক্যাল উপস্থাপনা। এর থেকে - ১. জনসংখ্যার বয়স কাঠামো, ২. নারী-পুরুষের অনুপাত, ৩. জন্ম ও মৃত্যুর হার, এবং ৪. ভবিষ্যৎ জনসংখ্যার প্রবণতা সম্পর্কে তথ্য পাওয়া যায়।",Hard
132,ভৌগোলিক নির্দেশক পণ্য' (GI Product) কী এবং বাংলাদেশের দুটি জিআই পণ্যের নাম উল্লেখ করুন।,"ভৌগোলিক নির্দেশক পণ্য' (GI Product) হলো এমন একটি পণ্য যার উৎস একটি নির্দিষ্ট ভৌগোলিক এলাকা, এবং এর গুণাগুণ বা খ্যাতি মূলত সেই উৎসের কারণে হয়। বাংলাদেশের দুটি জিআই পণ্য হলো - ১. জামদানি শাড়ি, ২. ইলিশ মাছ।",Hard
133,ই-গভর্নেন্স' (E-Governance) কী এবং এর দুটি সুবিধা উল্লেখ করুন।,"ই-গভর্নেন্স' হলো তথ্য ও যোগাযোগ প্রযুক্তি ব্যবহার করে সরকারি পরিষেবা প্রদান এবং প্রশাসনিক প্রক্রিয়া পরিচালনা করা। এর দুটি সুবিধা হলো - ১. স্বচ্ছতা ও জবাবদিহিতা বৃদ্ধি, ২. সেবার দ্রুত ও সহজলভ্যতা।",Hard
134,কৃষি বিপ্লব' (Agricultural Revolution) বলতে কী বোঝায় এবং এটি মানব ইতিহাসে কীভাবে প্রভাব ফেলেছিল?,"কৃষি বিপ্লব' হলো শিকার ও সংগ্রহ থেকে মানবজাতির কৃষিকাজে স্থানান্তরিত হওয়ার প্রক্রিয়া, যা স্থায়ী বসতি স্থাপন এবং খাদ্যের স্থায়ী যোগান নিশ্চিত করে। এটি মানব ইতিহাসে জনসংখ্যা বৃদ্ধি, গ্রাম ও শহরের সৃষ্টি, এবং সভ্যতার বিকাশে গুরুত্বপূর্ণ প্রভাব ফেলেছিল।",Hard
135,ফ্যাসিবাদ' (Fascism) কী এবং এর দুটি প্রধান বৈশিষ্ট্য উল্লেখ করুন।,"ফ্যাসিবাদ' হলো একটি চরম ডানপন্থী, স্বৈরাচারী এবং অতি-জাতীয়তাবাদী রাজনৈতিক মতবাদ। এর দুটি প্রধান বৈশিষ্ট্য হলো - ১. একনায়কতান্ত্রিক শাসন ও চরম সামরিকবাদ, ২. রাষ্ট্রের সর্বময় ক্ষমতা ও ব্যক্তির অধিকার দমন।",Hard
136,সোভিয়েত ইউনিয়ন' (Soviet Union) কবে ভেঙে যায় এবং এর কারণ কী ছিল?,"সোভিয়েত ইউনিয়ন' ১৯৯১ সালে ভেঙে যায়। এর প্রধান কারণগুলো ছিল - ১. অর্থনৈতিক স্থবিরতা, ২. জাতিগত উত্তেজনা বৃদ্ধি, এবং ৩. মিখাইল গর্বাচেভের সংস্কারমূলক নীতিগুলোর ব্যর্থতা।",Hard
137,ব্রিক্স' (BRICS) কী এবং এর সদস্য দেশগুলো কী কী?,"ব্রিক্স' (BRICS) হলো পাঁচটি প্রধান উদীয়মান অর্থনীতির দেশ নিয়ে গঠিত একটি জোট। এর সদস্য দেশগুলো হলো - ব্রাজিল, রাশিয়া, ভারত, চীন ও দক্ষিণ আফ্রিকা।",Hard
138,নগরায়নের নেতিবাচক প্রভাব কমাতে' দুটি উপায় উল্লেখ করুন।,"নগরায়নের নেতিবাচক প্রভাব কমাতে' দুটি উপায় হলো - ১. পরিকল্পিত নগর উন্নয়ন ও সবুজ স্থানের সৃষ্টি, ২. গণপরিবহন ব্যবস্থার উন্নয়ন ও বর্জ্য ব্যবস্থাপনা।",Hard
139,আইনস্টাইনের আপেক্ষিকতা তত্ত্ব' (Theory of Relativity) কী এবং এর দুটি অংশ উল্লেখ করুন।,"আইনস্টাইনের আপেক্ষিকতা তত্ত্ব' হলো স্থান ও কাল এবং মহাকর্ষের ধারণা সংক্রান্ত পদার্থবিজ্ঞানের একটি বিপ্লবী তত্ত্ব। এর দুটি অংশ হলো - ১. বিশেষ আপেক্ষিকতা তত্ত্ব (Special Relativity), এবং ২. সাধারণ আপেক্ষিকতা তত্ত্ব (General Relativity)।",Hard
140,কিয়োটো প্রোটোকল' (Kyoto Protocol) কী ছিল এবং এর প্রধান লক্ষ্য কী?,কিয়োটো প্রোটোকল' হলো ১৯৯৭ সালে স্বাক্ষরিত একটি আন্তর্জাতিক চুক্তি যা গ্রীনহাউস গ্যাস নির্গমন কমানোর লক্ষ্যে কাজ করে। এর প্রধান লক্ষ্য ছিল শিল্পোন্নত দেশগুলোর গ্রীনহাউস গ্যাস নির্গমন কমানোর জন্য আইনগতভাবে বাধ্যবাধকতা আরোপ করা।,Hard
141,প্যান-আফ্রিকানিজম' (Pan-Africanism) বলতে কী বোঝায়?,প্যান-আফ্রিকানিজম' হলো একটি রাজনৈতিক ও সাংস্কৃতিক আন্দোলন যা আফ্রিকার মহাদেশ ও আফ্রিকান বংশোদ্ভূতদের মধ্যে ঐক্য ও সংহতি গড়ে তোলার উপর জোর দেয়।,Hard
142,সামাজিক চুক্তি তত্ত্ব' (Social Contract Theory) এর মূল কথা কী?,"সামাজিক চুক্তি তত্ত্ব' হলো একটি রাজনৈতিক দর্শন যা ব্যাখ্যা করে যে, ব্যক্তিরা তাদের অধিকারের কিছু অংশ ছেড়ে দিয়ে একটি সমাজে বাস করতে এবং একটি সরকার গঠন করতে সম্মত হয়, যাতে তারা সুরক্ষা ও স্থিতিশীলতা লাভ করতে পারে।",Hard
143,গ্লোবাল ভিলেজ' (Global Village) ধারণাটি কে প্রবর্তন করেন এবং এর মূল বক্তব্য কী?,"গ্লোবাল ভিলেজ' ধারণাটি মার্শাল ম্যাকলুহান প্রবর্তন করেন। এর মূল বক্তব্য হলো, ইলেকট্রনিক যোগাযোগ মাধ্যমের উন্নতির ফলে বিশ্ব একটি ছোট গ্রামে পরিণত হয়েছে, যেখানে তথ্য দ্রুত ছড়িয়ে পড়ে এবং বিশ্বের মানুষ একে অপরের সাথে সংযুক্ত থাকে।",Hard
144,রেইনবো ওয়ারিয়র্স' (Rainbow Warriors) কোন সংগঠনের জাহাজ এবং এর উদ্দেশ্য কী?,রেইনবো ওয়ারিয়র্স' হলো গ্রিনপিস (Greenpeace) নামক পরিবেশবাদী সংগঠনের জাহাজ। এর উদ্দেশ্য হলো পরিবেশগত অবক্ষয় এবং পারমাণবিক পরীক্ষার বিরুদ্ধে প্রতিবাদ করা।,Hard
145,সিলিকন ভ্যালি' (Silicon Valley) কোথায় অবস্থিত এবং এটি কেন বিখ্যাত?,"সিলিকন ভ্যালি' যুক্তরাষ্ট্রের ক্যালিফোর্নিয়া রাজ্যে অবস্থিত। এটি বিশ্বব্যাপী প্রযুক্তি উদ্ভাবন, বিশেষ করে কম্পিউটার হার্ডওয়্যার, সফটওয়্যার এবং ইন্টারনেট শিল্পের জন্য বিখ্যাত।",Hard
146,জাতিসংঘের নিরাপত্তা পরিষদের ভেটো ক্ষমতা' বলতে কী বোঝায়?,"জাতিসংঘের নিরাপত্তা পরিষদের ভেটো ক্ষমতা' বলতে স্থায়ী সদস্য দেশগুলোর (চীন, ফ্রান্স, রাশিয়া, যুক্তরাজ্য, যুক্তরাষ্ট্র) সেই ক্ষমতাকে বোঝায়, যার মাধ্যমে তারা কোনো প্রস্তাবের বিরুদ্ধে ভোট দিয়ে সেটিকে বাতিল করে দিতে পারে, যদিও অন্য সকল সদস্য পক্ষে ভোট দেয়।",Hard
147,তৃতীয় বিশ্বের দেশগুলো' বলতে কী বোঝায় এবং এই শব্দটি কেন বিতর্কিত?,"তৃতীয় বিশ্বের দেশগুলো' শব্দটি সাধারণত উন্নয়নশীল বা স্বল্পোন্নত দেশগুলোকে বোঝাতে ব্যবহৃত হতো, যারা স্নায়ুযুদ্ধে কোনো ব্লকের অন্তর্ভুক্ত ছিল না। এটি বিতর্কিত কারণ এটি দেশগুলোকে তাদের অর্থনৈতিক অবস্থার ভিত্তিতে অসমভাবে শ্রেণীবদ্ধ করে এবং একটি পুরনো ভূ-রাজনৈতিক প্রেক্ষাপট থেকে উদ্ভূত।",Hard
148,সার্বিক মানবাধিকার ঘোষণা' (Universal Declaration of Human Rights) কবে গৃহীত হয় এবং এর গুরুত্ব কী?,সার্বিক মানবাধিকার ঘোষণা' ১৯৪৮ সালের ১০ই ডিসেম্বর জাতিসংঘ কর্তৃক গৃহীত হয়। এর গুরুত্ব হলো এটি বিশ্বের সকল মানুষের মৌলিক অধিকার ও স্বাধীনতার একটি আন্তর্জাতিক মানদণ্ড স্থাপন করেছে।,Hard
149,বৈশ্বিক উষ্ণায়ন' (Global Warming) মোকাবেলায় দুটি আন্তর্জাতিক প্রচেষ্টার নাম উল্লেখ করুন।,"বৈশ্বিক উষ্ণায়ন' মোকাবেলায় দুটি আন্তর্জাতিক প্রচেষ্টা হলো - ১. প্যারিস চুক্তি (Paris Agreement), এবং ২. কিয়োটো প্রোটোকল (Kyoto Protocol)।",Hard
149,বাংলাদেশের রাজধানীর নাম কী?,বাংলাদেশের রাজধানীর নাম ঢাকা।,Easy
